frame_idx,track_id,class_name,x1,y1,x2,y2,cx,cy,vx,vy,confidence,age_frames
91,2,car,687.95,202.16,770.27,312.47,729.11,257.31,-1.3803,-3.4226,0.0,39
92,1,car,625.15,214.23,692.33,309.59,658.74,261.91,-1.6426,-2.888,0.706,48
92,2,car,685.26,198.36,765.3,304.06,725.28,251.21,-3.8367,-6.1034,0.5112,40
93,1,car,623.9,210.62,690.49,304.82,657.19,257.72,-1.5487,-4.1838,0.7323,49
93,2,car,683.58,194.95,764.36,300.9,723.97,247.93,-1.3051,-3.2838,0.5058,41
94,1,car,623.31,207.56,689.02,300.12,656.17,253.84,-1.0289,-3.8856,0.7216,50
94,2,car,682.58,191.72,762.73,296.72,722.65,244.22,-1.3172,-3.7094,0.5006,42
95,1,car,622.54,203.34,688.49,296.16,655.51,249.75,-0.6523,-4.0874,0.6121,51
95,2,car,681.49,187.43,762.05,293.47,721.77,240.45,-0.8844,-3.7669,0.5333,43
95,3,person,722.91,497.32,791.41,540.01,757.16,518.67,0,0,0.4045,0
96,1,car,621.41,200.09,687.24,292.7,654.32,246.39,-1.1905,-3.3558,0.6226,52
96,2,car,680.4,185.88,760.61,291.56,720.5,238.72,-1.2674,-1.7318,0.5438,44
96,3,person,719.6,493.48,793.69,540.03,756.64,516.76,-0.5214,-1.9114,0.3834,1
97,1,car,620.12,195.86,686.32,289.0,653.22,242.43,-1.1056,-3.9638,0.6021,53
97,2,car,677.76,182.13,758.11,288.17,717.94,235.15,-2.5655,-3.5713,0.606,45
97,3,person,716.83,490.64,795.56,540.11,756.2,515.37,-0.4444,-1.3831,0.0,2
98,1,car,619.05,193.31,684.92,285.76,651.99,239.53,-1.2322,-2.8967,0.6135,54
98,2,car,676.16,178.13,756.37,284.67,716.27,231.4,-1.6717,-3.748,0.4186,46
98,3,person,714.07,487.8,797.44,540.18,755.75,513.99,-0.4444,-1.3831,0.0,3
99,1,car,617.16,189.97,682.68,281.58,649.92,235.78,-2.0661,-3.7571,0.5946,55
99,2,car,674.68,174.78,754.75,281.15,714.72,227.97,-1.5484,-3.4325,0.0,47
99,3,person,711.3,484.95,799.32,540.26,755.31,512.61,-0.4444,-1.3831,0.0,4
100,1,car,616.12,186.66,680.92,277.11,648.52,231.89,-1.3975,-3.8907,0.4108,56
100,2,car,673.2,171.43,753.14,277.63,713.17,224.53,-1.5484,-3.4325,0.0,48
100,3,person,708.53,482.11,801.19,540.34,754.86,511.22,-0.4444,-1.3831,0.0,5
101,1,car,614.57,183.2,679.09,273.39,646.83,228.29,-1.6922,-3.5915,0.7012,57
101,2,car,672.19,166.66,751.2,271.91,711.7,219.29,-1.4696,-5.2467,0.4002,49
101,3,person,705.77,479.27,803.07,540.41,754.42,509.84,-0.4444,-1.3831,0.0,6
102,1,car,612.66,179.31,677.63,270.12,645.14,224.71,-1.687,-3.5831,0.6726,58
102,2,car,670.45,162.62,749.93,268.76,710.19,215.69,-1.5116,-3.6,0.3993,50
102,3,person,703.0,476.43,804.95,540.49,753.97,508.46,-0.4444,-1.3831,0.0,7
103,1,car,611.3,176.17,675.55,265.78,643.43,220.98,-1.7172,-3.7349,0.6609,59
103,2,car,669.81,158.61,749.17,265.14,709.49,211.88,-0.6994,-3.8126,0.4155,51
103,3,person,700.24,473.59,806.82,540.56,753.53,507.07,-0.4444,-1.3831,0.0,8
104,1,car,609.69,171.58,674.13,261.38,641.91,216.48,-1.5146,-4.4982,0.6244,60
104,2,car,668.39,155.01,747.69,261.46,708.04,208.24,-1.444,-3.64,0.0,52
104,3,person,697.47,470.75,808.7,540.64,753.09,505.69,-0.4444,-1.3831,0.0,9
105,1,car,608.83,168.22,673.28,257.91,641.05,213.07,-0.8562,-3.4107,0.5642,61
105,2,car,666.98,151.4,746.22,257.79,706.6,204.6,-1.444,-3.64,0.0,53
105,3,person,694.7,467.9,810.58,540.71,752.64,504.31,-0.4444,-1.3831,0.0,10
106,1,car,607.36,164.35,671.97,254.53,639.67,209.44,-1.3878,-3.6254,0.4816,62
106,2,car,665.56,147.8,744.75,254.11,705.16,200.96,-1.444,-3.64,0.0,54
106,3,person,691.94,465.06,812.46,540.79,752.2,502.93,-0.4444,-1.3831,0.0,11
107,1,car,606.65,161.73,670.26,250.28,638.46,206.0,-1.209,-3.4414,0.4965,63
107,2,car,664.14,144.19,743.28,250.44,703.71,197.32,-1.444,-3.64,0.0,55
107,3,person,689.17,462.22,814.33,540.86,751.75,501.54,-0.4444,-1.3831,0.0,12
108,1,car,604.69,157.19,668.87,246.66,636.78,201.92,-1.678,-4.0776,0.5872,64
108,2,car,662.72,140.59,741.81,246.76,702.27,193.68,-1.444,-3.64,0.0,56
108,3,person,686.41,459.38,816.21,540.94,751.31,500.16,-0.4444,-1.3831,0.0,13
109,1,car,603.11,154.11,667.11,243.47,635.11,198.79,-1.6691,-3.1344,0.5915,65
109,2,car,661.93,139.73,736.5,239.62,699.22,189.67,-3.0509,-4.0052,0.4184,57
109,3,person,683.64,456.54,818.09,541.02,750.86,498.78,-0.4444,-1.3831,0.0,14
110,1,car,602.29,151.02,665.8,239.44,634.05,195.23,-1.0647,-3.5618,0.5657,66
110,2,car,659.64,134.5,735.57,236.19,697.61,185.35,-1.6104,-4.3231,0.5417,58
110,3,person,680.87,453.69,819.96,541.09,750.42,497.39,-0.4444,-1.3831,0.0,15
111,1,car,600.4,145.84,664.29,234.98,632.34,190.41,-1.7011,-4.8129,0.6701,67
111,2,car,658.86,132.48,733.83,232.48,696.35,182.48,-1.2601,-2.866,0.621,59
111,3,person,678.11,450.85,821.84,541.17,749.98,496.01,-0.4444,-1.3831,0.0,16
112,1,car,599.22,142.64,662.77,231.41,630.99,187.03,-1.3504,-3.3865,0.7574,68
112,2,car,657.71,128.26,732.61,228.14,695.16,178.2,-1.1911,-4.2813,0.5381,60
112,3,person,675.34,448.01,823.72,541.24,749.53,494.63,-0.4444,-1.3831,0.0,17
113,1,car,597.92,138.42,660.67,225.86,629.29,182.14,-1.7006,-4.8908,0.6614,69
113,2,car,655.86,123.32,731.37,224.42,693.61,173.87,-1.5407,-4.3326,0.5409,61
113,3,person,672.58,445.17,825.6,541.32,749.09,493.24,-0.4444,-1.3831,0.0,18
114,1,car,596.71,135.76,659.1,222.53,627.91,179.15,-1.3877,-2.9908,0.6461,70
114,2,car,654.44,119.66,729.76,220.5,692.1,170.08,-1.5103,-3.7889,0.0,62
114,3,person,669.81,442.33,827.47,541.39,748.64,491.86,-0.4444,-1.3831,0.0,19
115,1,car,595.69,132.1,657.73,218.35,626.71,175.22,-1.1979,-3.9226,0.5397,71
115,2,car,653.03,116.0,728.16,216.58,690.59,166.29,-1.5103,-3.7889,0.0,63
115,3,person,667.04,439.49,829.35,541.47,748.2,490.48,-0.4444,-1.3831,0.0,20
116,1,car,594.36,128.73,656.05,214.48,625.2,171.61,-1.5045,-3.6144,0.4788,72
116,2,car,651.62,113.16,726.18,213.33,688.9,163.25,-1.6953,-3.044,0.3675,64
116,3,person,664.28,436.64,831.23,541.55,747.75,489.09,-0.4444,-1.3831,0.0,21
117,1,car,592.62,125.28,653.93,210.46,623.28,167.87,-1.9285,-3.7383,0.5781,73
117,2,car,650.51,109.46,724.77,209.88,687.64,159.67,-1.2604,-3.5753,0.4276,65
117,3,person,661.51,433.8,833.1,541.62,747.31,487.71,-0.4444,-1.3831,0.0,22
118,1,car,590.97,121.27,652.02,206.15,621.5,163.71,-1.7788,-4.1598,0.5567,74
118,2,car,649.09,105.87,723.19,206.08,686.14,155.97,-1.5002,-3.6971,0.0,66
118,3,person,658.75,430.96,834.98,541.7,746.86,486.33,-0.4444,-1.3831,0.0,23
118,4,car,326.0,214.65,378.32,308.7,352.16,261.68,0,0,0.4969,0
119,1,car,589.96,118.56,650.38,202.55,620.17,160.55,-1.3293,-3.1589,0.4754,75
119,2,car,647.67,102.28,721.6,202.27,684.64,152.28,-1.5002,-3.6971,0.0,67
119,3,person,655.98,428.12,836.86,541.77,746.42,484.95,-0.4444,-1.3831,0.0,24
119,4,car,326.82,217.65,379.74,312.63,353.28,265.14,1.1194,3.4614,0.5455,1
